"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 03 12:22:58 GMT 2022","Mon Oct 03 12:23:01 GMT 2022","3019","","Testing the “Talk to an expert” page","","","","Checking the phone numbers in the “Calling from overseas?” section",""
"passed","Mon Oct 03 12:23:20 GMT 2022","Mon Oct 03 12:23:22 GMT 2022","2288","","Testing the main page","","","","The “Connect on LinkedIn” link",""
"passed","Mon Oct 03 12:23:25 GMT 2022","Mon Oct 03 12:23:29 GMT 2022","3444","","Testing the main page","","","","Clicking the “Developer Docs” link in the “hamburger menu”",""
"passed","Mon Oct 03 12:23:53 GMT 2022","Mon Oct 03 12:24:00 GMT 2022","6831","","Testing the sign in page","","","","Login with a randomly generated email and password",""
"passed","Mon Oct 03 12:24:13 GMT 2022","Mon Oct 03 12:24:31 GMT 2022","18003","","Testing the registration page","","","","Registration with valid random generated inputs",""
"passed","Mon Oct 03 12:23:12 GMT 2022","Mon Oct 03 12:23:16 GMT 2022","4056","","Testing the main page","","","","Clicking the “Developer Docs” link in the hoverable dropdown menu",""
"passed","Mon Oct 03 12:23:24 GMT 2022","Mon Oct 03 12:23:25 GMT 2022","1158","","Testing the main page","","","","The “Follow on Facebook” link",""
"passed","Mon Oct 03 12:23:16 GMT 2022","Mon Oct 03 12:23:20 GMT 2022","3879","","Testing the main page","","","","Clicking the “See all Pricing” link in the hoverable dropdown menu",""
"passed","Mon Oct 03 12:23:22 GMT 2022","Mon Oct 03 12:23:24 GMT 2022","1726","","Testing the main page","","","","The “Follow on Twitter” link",""
"passed","Mon Oct 03 12:23:08 GMT 2022","Mon Oct 03 12:23:12 GMT 2022","4078","","Testing the main page","","","","Clicking the “Try for free” button",""
"passed","Mon Oct 03 12:22:51 GMT 2022","Mon Oct 03 12:22:58 GMT 2022","6469","","Testing the “Talk to an expert” page","","","","Checking the phone number in the “Talk to our product experts” section",""
"passed","Mon Oct 03 12:23:43 GMT 2022","Mon Oct 03 12:23:53 GMT 2022","10589","","Testing the sign in page","","","","Login with empty fields",""
"passed","Mon Oct 03 12:23:29 GMT 2022","Mon Oct 03 12:23:33 GMT 2022","4331","","Testing the main page","","","","Clicking the “See all Pricing” link in the “hamburger menu”",""
"passed","Mon Oct 03 12:24:08 GMT 2022","Mon Oct 03 12:24:13 GMT 2022","5485","","Testing the registration page","","","","Registration with blank inputs",""
"passed","Mon Oct 03 12:23:33 GMT 2022","Mon Oct 03 12:23:35 GMT 2022","1679","","Testing the main page","","","","Checking the year in the copyright message in the footer",""
